Name,Behavior,Top Speed,Body,Natural Habitat,Lifestyle
Fritillary Butterfly,They can be characterized as solitary.Their aggression level is low.,,"This animal has scales.Its body can be black, white, red, black-brown, light-brown, orange, brown, tan and silver.","This animal's natural habitat is meadows, grasslands, parks and gardens.",It has a diurnal and solitary lifestyle.
Frizzle Chicken,They usually live in flocks.Their aggression level is low.,,This animal has feathers.Its body can be multi-colored.,This animal's natural habitat is captivity.,It has a flock lifestyle.
Frog,,16.0934,,This animal's natural habitat is rainforest and swampland.,It has a solitary lifestyle.
Frogfish,,,This animal has scales.Its body can be multi-colored.,This animal's natural habitat is semitropical and tropical seas save the mediterranean.,
Frug,,,,,
Fruit Bat,,,"This animal has hair.Its body can be black, brown and grey.",This animal's natural habitat is forests and savannas.,
Fruit Fly,,6.43736,"This animal has an exoskeleton.Its body can be tan, black, red and brown.",,
Fulvous Whistling Duck,,,"This animal has feathers.Its body can be black, red, white and brown.",This animal's natural habitat is lowland marshes and swamps.,It has a diurnal lifestyle.
Fur Seal,,43.45218,"This animal has fur.Its body can be black, brown and grey.",This animal's natural habitat is cold waters and rocky land.,It has a herd lifestyle.
Furrow Bee,They can be characterized as solitary. Their temperament can be characterized as docile.Their aggression level is low.,,This animal has an exoskeleton.Its body can be multi-colored.,"This animal's natural habitat is meadows, woodlands, deserts and wetlands.",It has a diurnal and crepuscular lifestyle.
Gaboon Viper,,,"This animal has scales.Its body can be yellow, purple, brown and grey.",,
Gadwall,,,"This animal has feathers.Its body can be black, white and brown.",This animal's natural habitat is in the vegetation near water.,It has a flock lifestyle.
Galapagos Penguin,,,"This animal has feathers.Its body can be black, white and grey.",This animal's natural habitat is rocky ocean islands.,It has a colony lifestyle.
Galapagos Shark,They usually live in groups and can be characterized as largely solitary. Their temperament can be characterized as agressive.Their aggression level is high.,3.21868,"This animal has scales.Its body can be grey-brown, brown and grey.",This animal's natural habitat is they thrive in shallow tropical water with strong currents.,
Galapagos Tortoise,,0.48280199999999995,This animal has scales.Its body can be brown and grey.,This animal's natural habitat is volcanic lowlands and shrub land.,It has a solitary lifestyle.
Gar,,,"This animal has scales.Its body can be black, yellow, green, blue, brown and grey.","This animal's natural habitat is rivers, bayous, lakes and and estuaries.",
Garden Eel,,,"This animal's skin is smooth.Its body can be black, green, white, orange, brown and grey.",This animal's natural habitat is marine saltwater.,
Garden Spider,They can be characterized as solitary. Their temperament can be characterized as mild.Their aggression level is low.,,"This animal has a shell.Its body can be black, yellow, dark, white, red, orange, brown, tan and grey.","This animal's natural habitat is gardens, parks, fields and woodlands.",It has a nocturnal lifestyle.
Gargoyle Gecko,,,"This animal has scales.Its body can be white, red, orange, brown and grey.",This animal's natural habitat is the female buries her eggs to keep them safe as they develop..,It has a nocturnal lifestyle.
Garter Snake,,,"This animal has scales.Its body can be orange, yellow, green and red.",,
Gastornis,,,,This animal's natural habitat is dense forests with a moist to dry tropical or subtropical climate.,
Gazelle,,96.5604,"This animal has fur.Its body can be black, yellow, white and brown.","This animal's natural habitat is grasslands, savannas and shrubby steppes.",
Gecko,,48.2802,"This animal has scales.Its body can be black, yellow, green, white, orange, blue, brown and tan.",This animal's natural habitat is rocky deserts and mountainous regions.,It has a solitary lifestyle.
Genet,,,"This animal has fur.Its body can be black, cream and grey.","This animal's natural habitat is woodland savannas, grasslands, coastal forest, rainforests, dry forests in the mountains, shrubland, near small and and seasonal lakes.",
Gentoo Penguin,,,"This animal has feathers.Its body can be orange, black, white and grey.",This animal's natural habitat is rocky antarctic islands.,It has a colony lifestyle.
Geoffroys Tamarin,,38.62416,"This animal has fur.Its body can be black, white, brown and grey.",This animal's natural habitat is lowland tropical forest.,It has a troop lifestyle.
Gerberian Shepsky,,,"This animal has hair.Its body can be gold, black, white, brown, cream, tan and grey.",,
Gerbil,,10.782578,"This animal has fur.Its body can be white, red, orange, olive, brown, pink and grey.","This animal's natural habitat is deserts, other arid places, though some gerbils are found in pastures, woodlands, scrub forests and mountain valleys..",It has a solitary lifestyle.
German Cockroach,,4.82802,This animal has an exoskeleton.Its body can be light-brown.,,
German Longhaired Pointer,They can be characterized as sociable. Their temperament can be characterized as calm and friendly.Their aggression level is low.,,This animal has hair.Its body can be multi-colored.,,It has a social and sociable lifestyle.
German Pinscher,,,,,
German Shepherd Mix,They can be characterized as social.Their aggression level is medium.,,"This animal has fur.Its body can be tan, black, white and brown.",,It has a diurnal lifestyle.
German Shepherd,,,,,
German Sheppit,,,"This animal has hair.Its body can be black, fawn, white, tan and grey.",,
German Sheprador,,,,,
German Shorthaired Pointer,,,"This animal has hair.Its body can be black, chocolate, dark, white and brown.",,
German Spitz,,,"This animal has hair.Its body can be black, white, orange, cream, brown and tan.",,
German Wirehaired Pointer,,,"This animal has fur.Its body can be white, light-brown, brown, grey-brown and white-brown.",,
Gharial,,24.1401,This animal has plate-like scales.Its body can be olive and grey.,This animal's natural habitat is wide and calm slow-moving rivers.,It has a nocturnal lifestyle.
Ghost Catfish,,,,,
Ghost Crab,,16.0934,"This animal has a shell.Its body can be yellow, sandy and cream.",,
Giant African Land Snail,,0.0032186800000000002,"This animal has a hard outer shell.Its body can be yellow, red and brown.",This animal's natural habitat is humid forest areas.,It has a solitary lifestyle.
Giant Armadillo,,48.2802,This animal has plates.Its body can be black and grey.,"This animal's natural habitat is rainforests, savannas, dry, semiarid woods, floodplains in brazil and other places where there’s a steady supply of termites.",
Giant Beaver,,,"This animal has fur.Its body can be black, beige, dark, cream and brown.","This animal's natural habitat is marshes, ponds and and lakes.",
Giant Clam,,,"This animal has a shell.Its body can be yellow, green, red, orange, blue, brown and pink.",This animal's natural habitat is saltwater seafloors.,
Giant Desert Centipede,They can be characterized as solitary.Their aggression level is medium.,,,This animal's natural habitat is rocky woodlands.,It has a terrestrial and nocturnal lifestyle.
Giant Golden Mole,They can be characterized as solitary. Their temperament can be characterized as territorial.Their aggression level is medium.,,This animal has fur.Its body can be dark and brown.,This animal's natural habitat is leafy forest floors near the south african cape coast.,It has a nocturnal lifestyle.
Giant House Spider,They can be characterized as solitary.Their aggression level is low.,,This animal has hair.Its body can be brown.,This animal's natural habitat is dark corners inside the house.,It has a nocturnal lifestyle.
Giant Isopod,,,This animal has a shell.Its body can be lilac and pink.,This animal's natural habitat is deep and cold oceans.,It has a hibernation lifestyle.
Giant Leopard Moth,,,,,"It has a group, nocturnal and solitary lifestyle."
Giant Panda Bear,,32.1868,"This animal has fur.Its body can be black, white and brown.",This animal's natural habitat is high-altitude and moist bamboo forest.,It has a diurnal and nocturnal lifestyle.
Giant Salamander,,,"This animal's skin is smooth.Its body can be black, brown and grey.",,
Giant Schnauzer,,,,,
Giant Schnoodle,,,,,
Giant Siphonophore,,,This animal has skin.Its body can be white and blue.,This animal's natural habitat is saltwater and ocean floor as well as the ocean twilight zone.,
Giant Trevally,They can be characterized as solitary except during mating season.Their aggression level is high.,59.54558,"This animal has scales.Its body can be black, light, dark, silver and grey.",,"It has a diurnal, season, crepuscular and nocturnal lifestyle."
Giant Weta,They usually live in groups.Their aggression level is low.,,,"This animal's natural habitat is shrublands, forests, grasslands and caves.",It has a group and nocturnal lifestyle.
Giant Wood Moth,They can be characterized as solitary.Their aggression level is low.,,"This animal has an exoskeleton.Its body can be light, dark and grey.",This animal's natural habitat is mainly the eucalyptus forests in the coastal regions in south and west australia.,It has a diurnal and nocturnal lifestyle.
Gibbon,,56.3269,"This animal has hair.Its body can be black, yellow, white, brown and grey.",This animal's natural habitat is dense forest and jungle.,It has a troop lifestyle.
Gigantopithecus,,,"This animal has hair.Its body can be tan, orange, red and brown.",,
Gila Monster,,24.1401,"This animal has scales.Its body can be black, white, brown, tan and grey.","This animal's natural habitat is shrublands, deserts and woodlands.",It has a solitary lifestyle.
